MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,HI_52_WK,LO_52_WK
N,SM,PRESSTONIC,PRESSTONIC ENGINEERING L,        79.80,        80.00,        80.50,        79.00,        80.00,                   319960.00,4000, ,       143.00,        78.00
N,SM,PRITIKA,PRITIKA ENG COMPO LTD,        91.35,        91.80,        91.80,        91.70,        91.70,                  1468000.00,16000, ,       210.00,        66.50
N,SM,PRLIND,PREMIER ROADLINES LIMITED,        86.70,        84.35,        87.00,        84.30,        84.65,                   685300.00,8000, ,       139.00,        78.20
N,SM,PROFX,PRO FX TECH LIMITED,        84.00,        85.50,        85.70,        83.10,        83.60,                  8543840.00,100800, ,       136.90,        83.10
N,SM,PROLIFE,PROLIFE INDUSTRIES LTD,       119.30,       125.25,       125.25,       114.00,       114.00,                   177150.00,1500, ,       361.00,       106.80
N,SM,PROPEQUITY,P. E. ANALYTICS LIMITED,       204.00,       182.50,       190.00,       180.10,       184.00,                  2091930.00,11400, ,       321.45,       165.10
N,SM,PROV,PROVENTUS AGROCOM LIMITED,      1175.00,      1170.00,      1170.00,      1110.00,      1110.00,                  1089800.00,960, ,      1784.00,       815.10
N,SM,PSFL,PARAMOUNT SPECIALI FORG L,        36.20,        36.20,        36.50,        35.75,        35.95,                   576000.00,16000, ,        84.50,        35.50
N,SM,PSRAJ,P S RAJ STEELS LIMITED,       245.35,       250.00,       255.00,       246.00,       252.20,                  8753600.00,35000, ,       255.00,       122.85
N,SM,PULZ,PULZ ELECTRONICS LIMITED,        39.20,        40.00,        40.60,        40.00,        40.60,                   161200.00,4000, ,       205.95,        37.55
N,SM,PUSHPA,PUSHPA JEWELLERS LIMITED,       134.05,       135.00,       140.95,       134.75,       139.05,                  7297450.00,53000, ,       148.00,       106.40
N,SM,QMSMEDI,QMS MEDICAL ALLIED S LTD,        98.10,        98.20,       101.00,        98.20,       101.00,                  1592950.00,16000, ,       124.85,        72.35
N,SM,QUADPRO,QUADPRO ITES LIMITED,         2.95,         3.05,         3.05,         3.05,         3.05,                    36600.00,12000, ,         6.30,         2.80
N,SM,QUESTLAB,QUEST LABORATORIES LTD,        95.00,        92.15,        95.00,        90.90,        94.45,                  5497920.00,58800, ,       160.00,        75.15
N,SM,QUICKTOUCH,QUICKTOUCH TECHNOLOGIES L,        44.90,        44.90,        46.95,        44.80,        46.45,                   137475.00,3000, ,       154.45,        40.05
N,SM,QVCEL,QVC EXPORTS LIMITED,        30.05,        30.05,        30.05,        29.80,        29.80,                    95760.00,3200, ,        59.30,        22.20
N,SM,RADIOWALLA,RADIOWALLA NETWORK LTD,        61.10,        63.25,        69.85,        63.25,        69.75,                  2140640.00,32000, ,       128.60,        53.85
N,SM,RAJINDLTD,RAJPUTANA INDUSTRIES LTD,        78.00,        77.00,        77.00,        75.40,        75.40,                   457275.00,6000, ,       101.90,        71.00
