"SYMBOL 
","COMPANY 
","REGULATION 
","NAME OF THE ACQUIRER/DISPOSER 
","CATEGORY OF PERSON 
","TYPE OF SECURITY (PRIOR) 
","NO. OF SECURITY (PRIOR) 
","% SHAREHOLDING (PRIOR) 
","TYPE OF SECURITY (ACQUIRED/DISPLOSED) 
","NO. OF SECURITIES (ACQUIRED/DISPLOSED) 
","VALUE OF SECURITY (ACQUIRED/DISPLOSED) 
","ACQUISITION/DISPOSAL TRANSACTION TYPE 
","TYPE OF SECURITY (POST) 
","NO. OF SECURITY (POST) 
","% POST 
","DATE OF ALLOTMENT/ACQUISITION FROM 
","DATE OF ALLOTMENT/ACQUISITION TO 
","DATE OF INITMATION TO COMPANY 
","MODE OF ACQUISITION 
","DERIVATIVE TYPE SECURITY 
","DERIVATIVE CONTRACT SPECIFICATION 
","NOTIONAL VALUE(BUY) 
","NUMBER OF UNITS/CONTRACT LOT SIZE (BUY) 
","NOTIONAL VALUE(SELL) 
","NUMBER OF UNITS/CONTRACT LOT SIZE  (SELL) 
","EXCHANGE 
","REMARK 
","BROADCASTE DATE AND TIME 
","XBRL 
"
"JUBLINGREA","Jubilant Ingrevia Limited","7(2)","Jubilant Ingrevia Employees Welfare Trust","Other","Equity Shares","1130209","0.7",,"49499","36150110","Buy","Equity Shares","1179708","0.74","26-Aug-2025","26-Aug-2025","28-Aug-2025","-","-","-","0","0","0","0","NSE","-","29-Aug-2025 23:35","https://nsearchives.nseindia.com/corporate/xbrl/IT_1186833_1519780_29082025113514_WEB.xml"
"SHOPERSTOP","Shoppers Stop Limited","7(2)","Cape Trading LLP","Promoter Group","Equity Shares","13358944","12.13",,"1847500","985087000","Pledge","Equity Shares","13358944","12.13","29-Aug-2025","29-Aug-2025","29-Aug-2025","Pledge Creation","-","-","0","0","0","0","NA","-","29-Aug-2025 23:15","https://nsearchives.nseindia.com/corporate/xbrl/IT_1186831_1519773_29082025111505_WEB.xml"
"SHOPERSTOP","Shoppers Stop Limited","7(2)","Anbee Constructions LLP","Promoter Group","Equity Shares","13358944","12.13",,"1847500","1006518000","Pledge","Equity Shares","13358944","12.13","25-Aug-2025","25-Aug-2025","26-Aug-2025","Revokation of Pledge","-","-","0","0","0","0","NA","-","29-Aug-2025 23:15","https://nsearchives.nseindia.com/corporate/xbrl/IT_1186831_1519773_29082025111505_WEB.xml"
"SHOPERSTOP","Shoppers Stop Limited","7(2)","K. Raheja Corp Private Limited","Promoter Group","Equity Shares","4311458","3.92",,"3382204","1803391173","Pledge","Equity Shares","4311458","3.92","29-Aug-2025","29-Aug-2025","29-Aug-2025","Pledge Creation","-","-","0","0","0","0","NA","-","29-Aug-2025 23:15","https://nsearchives.nseindia.com/corporate/xbrl/IT_1186831_1519773_29082025111505_WEB.xml"
"SHOPERSTOP","Shoppers Stop Limited","7(2)","K. Raheja Corp Private Limited","Promoter Group","Equity Shares","4311458","3.92",,"3382204","1842624739","Pledge","Equity Shares","4311458","3.92","25-Aug-2025","25-Aug-2025","26-Aug-2025","Revokation of Pledge","-","-","0","0","0","0","NA","-","29-Aug-2025 23:15","https://nsearchives.nseindia.com/corporate/xbrl/IT_1186831_1519773_29082025111505_WEB.xml"
"SHOPERSTOP","Shoppers Stop Limited","7(2)","Cape Trading LLP","Promoter Group","Equity Shares","13358944","12.13",,"1847500","1006518000","Pledge","Equity Shares","13358944","12.13","25-Aug-2025","25-Aug-2025","26-Aug-2025","Revokation of Pledge","-","-","0","0","0","0","NA","-","29-Aug-2025 23:15","https://nsearchives.nseindia.com/corporate/xbrl/IT_1186831_1519773_29082025111505_WEB.xml"
"SHOPERSTOP","Shoppers Stop Limited","7(2)","Anbee Constructions LLP","Promoter Group","Equity Shares","13358944","12.13",,"1847500","985087000","Pledge","Equity Shares","13358944","12.13","29-Aug-2025","29-Aug-2025","29-Aug-2025","Pledge Creation","-","-","0","0","0","0","NA","-","29-Aug-2025 23:15","https://nsearchives.nseindia.com/corporate/xbrl/IT_1186831_1519773_29082025111505_WEB.xml"
"SAPPHIRE","Sapphire Foods India Limited","7(2)","SARMISTHA MADURI","Employees/Designated Employees","Equity Shares","10730","0",,"6153","1998741","Sell","Equity Shares","4577","0","28-Aug-2025","28-Aug-2025","29-Aug-2025","Market Sale","-","-","0","0","0","0","NSE","-","29-Aug-2025 20:25","https://nsearchives.nseindia.com/corporate/xbrl/IT_1186829_1519695_29082025082540_WEB.xml"
"CHALET","Chalet Hotels Limited","7(2)","Anbee Constructions LLP","Promoters","Equity Shares","13116180","6",,"2116180","2131310687","Pledge Revoke","Equity Shares","13116180","6","26-Aug-2025","26-Aug-2025","26-Aug-2025","Revokation of Pledge","-","-","0","0","0","0","NA","-","29-Aug-2025 19:31","https://nsearchives.nseindia.com/corporate/xbrl/IT_1186827_1519606_29082025073107_WEB.xml"
"CHALET","Chalet Hotels Limited","7(2)","Anbee Constructions LLP","Promoters","Equity Shares","13116180","6",,"2116180","2153636386","Pledge","Equity Shares","13116180","6","29-Aug-2025","29-Aug-2025","29-Aug-2025","Pledge Creation","-","-","0","0","0","0","NA","-","29-Aug-2025 19:31","https://nsearchives.nseindia.com/corporate/xbrl/IT_1186827_1519606_29082025073107_WEB.xml"
"GMMPFAUDLR","GMM Pfaudler Limited","7(2)","Pragna Patel","Promoter Group","Equity Shares","48480","0.11",,"25000","35000000","Sell","Equity Shares","23480","0.05","28-Aug-2025","28-Aug-2025","29-Aug-2025","Inter-se-Transfer","-","-","0","0","0","0","NA","-","29-Aug-2025 19:23","https://nsearchives.nseindia.com/corporate/xbrl/IT_1186825_1519588_29082025072350_WEB.xml"
"GMMPFAUDLR","GMM Pfaudler Limited","7(2)","Millars Machinery Company Private Limited","Promoter Group","Equity Shares","4336357","9.65",,"25000","35000000","Buy","Equity Shares","4361357","9.71","28-Aug-2025","28-Aug-2025","29-Aug-2025","Inter-se-Transfer","-","-","0","0","0","0","NA","-","29-Aug-2025 19:23","https://nsearchives.nseindia.com/corporate/xbrl/IT_1186825_1519588_29082025072350_WEB.xml"
"VGINFOTECH","Virtual Galaxy Infotech Limited","7(2)","AVINASH NARAYANRAO SHENDE","Promoters","Equity Shares","7468698","30.03",,"2000","350000","Buy","Equity Shares","7470698","30.04","28-Aug-2025","28-Aug-2025","29-Aug-2025","Market Purchase","-","-","0","0","0","0","NSE","-","29-Aug-2025 18:49","https://nsearchives.nseindia.com/corporate/xbrl/IT_1186823_1519532_29082025064908_WEB.xml"
"VGINFOTECH","Virtual Galaxy Infotech Limited","7(2)","SACHIN PURUSHOTTAM PANDE","Promoters","Equity Shares","7461698","30",,"2000","354000","Buy","Equity Shares","7463698","30.01","28-Aug-2025","28-Aug-2025","29-Aug-2025","Market Purchase","-","-","0","0","0","0","NSE","-","29-Aug-2025 18:49","https://nsearchives.nseindia.com/corporate/xbrl/IT_1186823_1519532_29082025064908_WEB.xml"
"ROSSARI","Rossari Biotech Limited","7(2)","Chari Family Trust - in the name of Sunil Srinivasan Chari & Jyotishna Sunil Chari","Promoter Group","Equity Shares","110000","0.2",,"5000000","3086250000","Buy","Equity Shares","5110000","9.23","28-Aug-2025","28-Aug-2025","29-Aug-2025","Gift","-","-","0","0","0","0","NA","-","29-Aug-2025 18:43","https://nsearchives.nseindia.com/corporate/xbrl/IT_1186821_1519518_29082025064259_WEB.xml"
"ROSSARI","Rossari Biotech Limited","7(2)","Jyotishna Sunil Chari","Promoter Group","Equity Shares","1000330","1.81",,"1500000","925875000","Buy","Equity Shares","2500330","4.52","28-Aug-2025","28-Aug-2025","29-Aug-2025","Gift","-","-","0","0","0","0","NA","-","29-Aug-2025 18:43","https://nsearchives.nseindia.com/corporate/xbrl/IT_1186821_1519518_29082025064259_WEB.xml"
"ROSSARI","Rossari Biotech Limited","7(2)","Sunil Srinivasan Chari","Promoters","Equity Shares","16089320","29.06",,"8800000","5431800000","Sell","Equity Shares","7289320","13.17","28-Aug-2025","28-Aug-2025","29-Aug-2025","Gift","-","-","0","0","0","0","NA","-","29-Aug-2025 18:43","https://nsearchives.nseindia.com/corporate/xbrl/IT_1186821_1519518_29082025064259_WEB.xml"
"ROSSARI","Rossari Biotech Limited","7(2)","Yash Suni Chari","Promoter Group","Equity Shares","165000","0.3",,"2300000","1419675000","Buy","Equity Shares","2465000","4.45","28-Aug-2025","28-Aug-2025","29-Aug-2025","Gift","-","-","0","0","0","0","NA","-","29-Aug-2025 18:43","https://nsearchives.nseindia.com/corporate/xbrl/IT_1186821_1519518_29082025064259_WEB.xml"
"SHYAMCENT","Shyam Century Ferrous Limited","7(2)","Hari Prasad Agarwala & Ors.","Promoter Group","Equity Shares","737590","0.35",,"7822","55622","Sell","Equity Shares","729768","0.34","25-Aug-2025","25-Aug-2025","27-Aug-2025","Market Sale","-","-","0","0","0","0","NSE","-","29-Aug-2025 18:38","https://nsearchives.nseindia.com/corporate/xbrl/IT_1186820_1519504_29082025063843_WEB.xml"
"SHYAMCENT","Shyam Century Ferrous Limited","7(2)","Sumitra Devi Agarwal","Promoter Group","Equity Shares","309254","0.15",,"30000","216186","Sell","Equity Shares","279254","0.13","25-Aug-2025","25-Aug-2025","27-Aug-2025","Market Sale","-","-","0","0","0","0","NSE","-","29-Aug-2025 18:38","https://nsearchives.nseindia.com/corporate/xbrl/IT_1186820_1519504_29082025063843_WEB.xml"
"ECLERX","eClerx Services Limited","7(2)","Eclerx Employee Welfare Trust","Other","Equity Shares","688318","1.44",,"1957","2804968","Sell","Equity Shares","686361","1.44","29-Aug-2025","29-Aug-2025","29-Aug-2025","Off Market","-","-","0","0","0","0","NA","-","29-Aug-2025 18:36","https://nsearchives.nseindia.com/corporate/xbrl/IT_1186817_1519498_29082025063607_WEB.xml"
"ECLERX","eClerx Services Limited","7(2)","Eclerx Employee Welfare Trust","Other","Equity Shares","689223","1.44",,"905","1297137","Sell","Equity Shares","688318","1.44","29-Aug-2025","29-Aug-2025","29-Aug-2025","Off Market","-","-","0","0","0","0","NA","-","29-Aug-2025 18:36","https://nsearchives.nseindia.com/corporate/xbrl/IT_1186817_1519498_29082025063607_WEB.xml"
"ECLERX","eClerx Services Limited","7(2)","Eclerx Employee Welfare Trust","Other","Equity Shares","691725","1.45",,"2502","3586116","Sell","Equity Shares","689223","1.44","29-Aug-2025","29-Aug-2025","29-Aug-2025","Off Market","-","-","0","0","0","0","NA","-","29-Aug-2025 18:36","https://nsearchives.nseindia.com/corporate/xbrl/IT_1186817_1519498_29082025063607_WEB.xml"
"ECLERX","eClerx Services Limited","7(2)","Eclerx Employee Welfare Trust","Other","Equity Shares","686795","1.44",,"4930","21198872","Buy","Equity Shares","691725","1.45","28-Aug-2025","28-Aug-2025","29-Aug-2025","Market Purchase","-","-","0","0","0","0","NSE","-","29-Aug-2025 18:36","https://nsearchives.nseindia.com/corporate/xbrl/IT_1186817_1519498_29082025063607_WEB.xml"
"ECLERX","eClerx Services Limited","7(2)","Eclerx Employee Welfare Trust","Other","Equity Shares","686361","1.44",,"406","581920","Sell","Equity Shares","685955","1.43","29-Aug-2025","29-Aug-2025","29-Aug-2025","Off Market","-","-","0","0","0","0","NA","-","29-Aug-2025 18:36","https://nsearchives.nseindia.com/corporate/xbrl/IT_1186817_1519498_29082025063607_WEB.xml"
"MTARTECH","Mtar Technologies Limited","7(2)","Akepati Manogna","Promoters","Equity Shares","906889","2.95",,"1118","1650846","Sell","Equity Shares","905771","2.94","25-Aug-2025","25-Aug-2025","27-Aug-2025","Market Sale","-","-","0","0","0","0","NSE","-","29-Aug-2025 18:22","https://nsearchives.nseindia.com/corporate/xbrl/IT_1186813_1519470_29082025062209_WEB.xml"
"SGFIN","SG Finserve Limited","7(2)","Sahil Sikka","Key Managerial Personnel","Equity Shares","31920","0.06",,"12672","4846761","Sell","Equity Shares","19248","0.03","25-Aug-2025","28-Aug-2025","28-Aug-2025","Market Sale","-","-","0","0","0","0","NSE","-","29-Aug-2025 18:20","https://nsearchives.nseindia.com/corporate/xbrl/IT_1186811_1519466_29082025062032_WEB.xml"
"JUBLFOOD","Jubilant Foodworks Limited","7(2)","JFL Employees Welfare Trust","Other","Equity Shares","2152860","0.33",,"210000","131362350","Buy","Equity Shares","2362860","0.36","25-Aug-2025","25-Aug-2025","26-Aug-2025","Market Purchase","-","-","0","0","0","0","NSE","-","29-Aug-2025 18:18","https://nsearchives.nseindia.com/corporate/xbrl/IT_1186809_1519459_29082025061816_WEB.xml"
"M&M","Mahindra & Mahindra Limited","7(2)","Mahendra Bhalerao","Employees/Designated Employees","Equity Shares","11405","0",,"1000","3314902","Sell","Equity Shares","10405","0","28-Aug-2025","28-Aug-2025","29-Aug-2025","Market Sale","-","-","0","0","0","0","NSE","-","29-Aug-2025 18:15","https://nsearchives.nseindia.com/corporate/xbrl/IT_1186808_1519452_29082025061532_WEB.xml"
"M&M","Mahindra & Mahindra Limited","7(2)","Mahendra Bhalerao","Employees/Designated Employees","Equity Shares","11305","0",,"100","317475","Buy","Equity Shares","11405","0","03-Jul-2025","03-Jul-2025","29-Aug-2025","ESOP","-","-","0","0","0","0","NA","-","29-Aug-2025 18:15","https://nsearchives.nseindia.com/corporate/xbrl/IT_1186808_1519452_29082025061532_WEB.xml"
"MAPMYINDIA","C.E. Info Systems Limited","7(2)","Supriya Nath","-","Equity Shares","1751","0",,"950","1695854","Sell","Equity Shares","801","0","12-Aug-2025","25-Aug-2025","27-Aug-2025","Market Sale","-","-","0","0","0","0","NSE","-","29-Aug-2025 17:53","https://nsearchives.nseindia.com/corporate/xbrl/IT_1186803_1519420_29082025055338_WEB.xml"
"MAPMYINDIA","C.E. Info Systems Limited","7(2)","Monika Jaipuriar","-","Equity Shares","26632","0.04",,"1545","2712075","Sell","Equity Shares","25087","0.04","19-Aug-2025","25-Aug-2025","27-Aug-2025","Market Sale","-","-","0","0","0","0","NSE","-","29-Aug-2025 17:53","https://nsearchives.nseindia.com/corporate/xbrl/IT_1186803_1519420_29082025055338_WEB.xml"
"MAPMYINDIA","C.E. Info Systems Limited","7(2)","Madan Prakash Jha","-","Equity Shares","8424","0.01",,"1350","2406393","Sell","Equity Shares","7074","0.01","12-Aug-2025","26-Aug-2025","28-Aug-2025","Market Sale","-","-","0","0","0","0","NSE","-","29-Aug-2025 17:53","https://nsearchives.nseindia.com/corporate/xbrl/IT_1186803_1519420_29082025055338_WEB.xml"
"MAPMYINDIA","C.E. Info Systems Limited","7(2)","Vilas Kulkarni","-","Equity Shares","10028","0.01",,"1150","2003036","Sell","Equity Shares","8878","0.01","20-Aug-2025","25-Aug-2025","27-Aug-2025","Market Sale","-","-","0","0","0","0","NSE","-","29-Aug-2025 17:53","https://nsearchives.nseindia.com/corporate/xbrl/IT_1186803_1519420_29082025055338_WEB.xml"
"MAPMYINDIA","C.E. Info Systems Limited","7(2)","Sanjay Shukla","-","Equity Shares","17099","0.03",,"3015","5297503","Sell","Equity Shares","14084","0.02","18-Aug-2025","25-Aug-2025","27-Aug-2025","Market Sale","-","-","0","0","0","0","NSE","-","29-Aug-2025 17:53","https://nsearchives.nseindia.com/corporate/xbrl/IT_1186803_1519420_29082025055338_WEB.xml"
"MAPMYINDIA","C.E. Info Systems Limited","7(2)","Krishna Kumar","-","Equity Shares","13175","0.02",,"1851","3279863","Sell","Equity Shares","11324","0.02","18-Aug-2025","25-May-2025","27-Aug-2025","Market Sale","-","-","0","0","0","0","NSE","-","29-Aug-2025 17:53","https://nsearchives.nseindia.com/corporate/xbrl/IT_1186803_1519420_29082025055338_WEB.xml"
"MAPMYINDIA","C.E. Info Systems Limited","7(2)","Akhtar Ali","-","Equity Shares","4816","0",,"1239","2211615","Sell","Equity Shares","3577","0","19-Aug-2025","29-Aug-2025","29-Aug-2025","Market Sale","-","-","0","0","0","0","NSE","-","29-Aug-2025 17:53","https://nsearchives.nseindia.com/corporate/xbrl/IT_1186803_1519420_29082025055338_WEB.xml"
"MAPMYINDIA","C.E. Info Systems Limited","7(2)","Ashok Bhatt","-","Equity Shares","24517","0.04",,"3500","6201596","Sell","Equity Shares","21017","0.03","18-Aug-2025","28-Aug-2025","29-Aug-2025","Market Sale","-","-","0","0","0","0","NSE","-","29-Aug-2025 17:53","https://nsearchives.nseindia.com/corporate/xbrl/IT_1186803_1519420_29082025055338_WEB.xml"
"MAPMYINDIA","C.E. Info Systems Limited","7(2)","Deepak Kumar Jain","-","Equity Shares","5447","0",,"1024","1781901","Sell","Equity Shares","4423","0","20-Aug-2025","28-Aug-2025","29-Aug-2025","Market Sale","-","-","0","0","0","0","BSE","-","29-Aug-2025 17:53","https://nsearchives.nseindia.com/corporate/xbrl/IT_1186803_1519420_29082025055338_WEB.xml"
"MAPMYINDIA","C.E. Info Systems Limited","7(2)","Subrat Kumar Dey","-","Equity Shares","2194","0",,"600","1060074","Sell","Equity Shares","1594","0","20-Aug-2025","26-Aug-2025","28-Aug-2025","Market Sale","-","-","0","0","0","0","NSE","-","29-Aug-2025 17:53","https://nsearchives.nseindia.com/corporate/xbrl/IT_1186803_1519420_29082025055338_WEB.xml"
"MAPMYINDIA","C.E. Info Systems Limited","7(2)","Sumit Gupta","-","Equity Shares","7205","0.01",,"2400","4293147","Sell","Equity Shares","4805","0","11-Aug-2025","26-Aug-2025","27-Aug-2025","Market Sale","-","-","0","0","0","0","NSE","-","29-Aug-2025 17:53","https://nsearchives.nseindia.com/corporate/xbrl/IT_1186803_1519420_29082025055338_WEB.xml"
"MAPMYINDIA","C.E. Info Systems Limited","7(2)","Pradeep Prasad Gupta","-","Equity Shares","15011","0.02",,"3574","6357612","Sell","Equity Shares","11437","0.02","12-Aug-2025","25-Aug-2025","27-Aug-2025","Market Sale","-","-","0","0","0","0","NSE","-","29-Aug-2025 17:53","https://nsearchives.nseindia.com/corporate/xbrl/IT_1186803_1519420_29082025055338_WEB.xml"
"ADOR","Ador Welding Limited","7(2)","TANIA A MIRCHANDANI","Promoter Group","Equity Shares","16304","0.09",,"80458","0","Buy","Equity Shares","96762","0.55","18-Aug-2025","18-Aug-2025","26-Aug-2025","Others","-","-","0","0","0","0","NA","-","29-Aug-2025 17:45","https://nsearchives.nseindia.com/corporate/xbrl/IT_1186801_1519402_29082025054522_WEB.xml"
"NAVINFLUOR","Navin Fluorine International Limited","7(2)","Mr. Rajendra Kumar Sahu","Employees/Designated Employees","Equity Shares","Nil","0",,"5000","16630000","Buy","Equity Shares","5000","0","22-Aug-2025","22-Aug-2025","26-Aug-2025","ESOP","-","-","0","0","0","0","NA","-","29-Aug-2025 17:32","https://nsearchives.nseindia.com/corporate/xbrl/IT_1186799_1519375_29082025053218_WEB.xml"
"DMART","Avenue Supermarts Limited","7(2)","Santosh Nagnath Kadam","-","Equity Shares","2600","0",,"150","706900","Sell","Equity Shares","2450","0","19-Aug-2025","29-Aug-2025","29-Aug-2025","Market Sale","-","-","0","0","0","0","BSE","-","29-Aug-2025 17:31","https://nsearchives.nseindia.com/corporate/xbrl/IT_1186798_1519372_29082025053124_WEB.xml"
"DMART","Avenue Supermarts Limited","7(2)","Vishal Pankaj Sheth","-","Equity Shares","1600","0",,"600","2859000","Sell","Equity Shares","1000","0","29-Aug-2025","29-Aug-2025","29-Aug-2025","Market Sale","-","-","0","0","0","0","NSE","-","29-Aug-2025 17:31","https://nsearchives.nseindia.com/corporate/xbrl/IT_1186798_1519372_29082025053124_WEB.xml"
"DMART","Avenue Supermarts Limited","7(2)","Vikram Bhatia","-","Equity Shares","120027","0.02",,"2000","9494251","Sell","Equity Shares","118027","0.02","26-Aug-2025","26-Aug-2025","29-Aug-2025","Market Sale","-","-","0","0","0","0","NSE","-","29-Aug-2025 17:31","https://nsearchives.nseindia.com/corporate/xbrl/IT_1186798_1519372_29082025053124_WEB.xml"
"DBOL","Dhampur Bio Organics Limited","7(2)","DBO Employee Welfare Trust","Other","Equity Shares","343000","0.52",,"11500","979855","Buy","Equity Shares","354500","0.53","28-Aug-2025","28-Aug-2025","29-Aug-2025","Market Purchase","-","-","0","0","0","0","NSE","-","29-Aug-2025 17:30","https://nsearchives.nseindia.com/corporate/xbrl/IT_1186795_1519367_29082025053051_WEB.xml"
"DBOL","Dhampur Bio Organics Limited","7(2)","DBO Employee Welfare Trust","Other","Equity Shares","354500","0.53",,"17001","1456318","Buy","Equity Shares","371501","0.56","29-Aug-2025","29-Aug-2025","29-Aug-2025","Market Purchase","-","-","0","0","0","0","NSE","-","29-Aug-2025 17:30","https://nsearchives.nseindia.com/corporate/xbrl/IT_1186795_1519367_29082025053051_WEB.xml"
"DBOL","Dhampur Bio Organics Limited","7(2)","DBO Employee Welfare Trust","Other","Equity Shares","327000","0.49",,"16000","1366845","Buy","Equity Shares","343000","0.52","26-Aug-2025","26-Aug-2025","28-Aug-2025","Market Purchase","-","-","0","0","0","0","NSE","-","29-Aug-2025 17:30","https://nsearchives.nseindia.com/corporate/xbrl/IT_1186794_1519364_29082025053008_WEB.xml"
"FELIX","Felix Industries Limited","7(2)","Naitik Ajay Shah","Promoter Group","Equity Shares","Nil","0",,"75000","13125000","Buy","Equity Shares","75000","0.44","27-Aug-2025","27-Aug-2025","28-Aug-2025","Preferential Offer","-","-","0","0","0","0","NA","-","29-Aug-2025 17:16","https://nsearchives.nseindia.com/corporate/xbrl/IT_1186791_1519334_29082025051605_WEB.xml"
"FELIX","Felix Industries Limited","7(2)","DSP technical and Financial Services Private Limited","Promoter Group","Equity Shares","56000","0.33",,"1654000","289450000","Buy","Equity Shares","1710000","9.94","27-Aug-2025","27-Aug-2025","28-Aug-2025","Preferential Offer","-","-","0","0","0","0","NA","-","29-Aug-2025 17:16","https://nsearchives.nseindia.com/corporate/xbrl/IT_1186791_1519334_29082025051605_WEB.xml"
"FELIX","Felix Industries Limited","7(2)","Rishita Naitik Shah","Promoter Group","Equity Shares","Nil","0",,"75000","13125000","Buy","Equity Shares","75000","0.44","27-Aug-2025","27-Aug-2025","28-Aug-2025","Preferential Offer","-","-","0","0","0","0","NA","-","29-Aug-2025 17:16","https://nsearchives.nseindia.com/corporate/xbrl/IT_1186791_1519334_29082025051605_WEB.xml"
"VINEETLAB","Vineet Laboratories Limited","7(2)","Satyanarayana Raju Bhupathiraju","Promoters","Equity Shares","350288","3.8",,"42460","1493318","Sell","Equity Shares","307828","3.34","22-Aug-2025","22-Aug-2025","26-Aug-2025","Market Sale","-","-","0","0","0","0","NSE","-","29-Aug-2025 16:57","https://nsearchives.nseindia.com/corporate/xbrl/IT_1186789_1519301_29082025045755_WEB.xml"
"MACPOWER","Macpower CNC Machines Limited","7(2)","REYNA RUPESHBHAI MEHTA","Promoter Group","Equity Shares","275000","2.75",,"240000","0","Buy","Equity Shares","515000","5.15","28-Aug-2025","28-Aug-2025","29-Aug-2025","Gift","-","-","0","0","0","0","NA","-","29-Aug-2025 16:29","https://nsearchives.nseindia.com/corporate/xbrl/IT_1186787_1519251_29082025042924_WEB.xml"
"MACPOWER","Macpower CNC Machines Limited","7(2)","NIKESH JAGDISHCHANDRA MEHTA","Promoters","Equity Shares","861056","8.61",,"480000","0","Sell","Equity Shares","381056","3.81","28-Aug-2025","28-Aug-2025","29-Aug-2025","Gift","-","-","0","0","0","0","NA","-","29-Aug-2025 16:29","https://nsearchives.nseindia.com/corporate/xbrl/IT_1186787_1519251_29082025042924_WEB.xml"
"MACPOWER","Macpower CNC Machines Limited","7(2)","VINCY RUPESHBHAI MEHTA","Promoter Group","Equity Shares","280000","2.8",,"240000","0","Buy","Equity Shares","520000","5.2","28-Aug-2025","28-Aug-2025","29-Aug-2025","Gift","-","-","0","0","0","0","NA","-","29-Aug-2025 16:29","https://nsearchives.nseindia.com/corporate/xbrl/IT_1186787_1519251_29082025042924_WEB.xml"
"KPITTECH","KPIT Technologies Limited","7(2)","KPIT TECHNOLOGIES LIMITED EMPLOYEES WELFARE TRUST","Other","Equity Shares","2180853","0.8",,"36650","366500","Sell","Equity Shares","2144203","0.78","26-Aug-2025","26-Aug-2025","26-Aug-2025","ESOP","-","-","0","0","0","0","NA","-","29-Aug-2025 15:58","https://nsearchives.nseindia.com/corporate/xbrl/IT_1186784_1519209_29082025035835_WEB.xml"
"KPITTECH","KPIT Technologies Limited","7(2)","KPIT TECHNOLOGIES LIMITED EMPLOYEES WELFARE TRUST","Other","Equity Shares","2144203","0.78",,"219","262497","Sell","Equity Shares","2143984","0.78","26-Aug-2025","26-Aug-2025","28-Aug-2025","ESOP","-","-","0","0","0","0","NSE","-","29-Aug-2025 15:58","https://nsearchives.nseindia.com/corporate/xbrl/IT_1186784_1519209_29082025035835_WEB.xml"
"FIDEL","Fidel Softech Limited","7(2)","Sunil Kulkarni","Promoters","Equity Shares","7626996","55.46",,"1000","169","Buy","Equity Shares","7627996","55.47","29-Aug-2025","29-Aug-2025","29-Aug-2025","Market Purchase","-","-","0","0","0","0","NSE","-","29-Aug-2025 15:47","https://nsearchives.nseindia.com/corporate/xbrl/IT_1186782_1519194_29082025034738_WEB.xml"
"NAHARCAP","Nahar Capital and Financial Services Limited","7(2)","CLOSETTRUNK PRIVATE LIMITED","Promoter Group","Equity Shares","38118","0.23",,"5641","1670806","Buy","Equity Shares","43759","0.26","22-Aug-2025","26-Aug-2025","28-Aug-2025","Market Purchase","-","-","0","0","0","0","NSE","-","29-Aug-2025 15:25","https://nsearchives.nseindia.com/corporate/xbrl/IT_1186781_1519170_29082025032532_WEB.xml"
"NAHARCAP","Nahar Capital and Financial Services Limited","7(2)","CLOSETTRUNK PRIVATE LIMITED","Promoter Group","Equity Shares","43759","0.26",,"209","62081","Buy","Equity Shares","43968","0.26","26-Aug-2025","26-Aug-2025","28-Aug-2025","Market Purchase","-","-","0","0","0","0","BSE","-","29-Aug-2025 15:25","https://nsearchives.nseindia.com/corporate/xbrl/IT_1186781_1519170_29082025032532_WEB.xml"
"PAISALO","Paisalo Digital Limited","7(2)","EQUILIBRATED VENTURE CFLOW PRIVATE LIMITED","Promoter Group","Equity Shares","150495464","16.68",,"655650","19827681","Buy","Equity Shares","151151114","16.76","29-Aug-2025","29-Aug-2025","29-Aug-2025","Market Purchase","-","-","0","0","0","0","NSE","-","29-Aug-2025 15:23","https://nsearchives.nseindia.com/corporate/xbrl/IT_1186779_1519166_29082025032345_WEB.xml"
"LALPATHLAB","Dr. Lal Path Labs Ltd.","7(2)","AMIT AGGARWAL","Employees/Designated Employees","Equity Shares","700","0",,"150","510000","Sell","Equity Shares","550","0","29-Aug-2025","29-Aug-2025","29-Aug-2025","Market Sale","-","-","0","0","0","0","NSE","-","29-Aug-2025 15:23","https://nsearchives.nseindia.com/corporate/xbrl/IT_1186778_1519163_29082025032329_WEB.xml"
"LALPATHLAB","Dr. Lal Path Labs Ltd.","7(2)","AMIT AGGARWAL","Employees/Designated Employees","Equity Shares","850","0",,"150","500550","Sell","Equity Shares","700","0","28-Aug-2025","28-Aug-2025","29-Aug-2025","Market Sale","-","-","0","0","0","0","BSE","-","29-Aug-2025 15:23","https://nsearchives.nseindia.com/corporate/xbrl/IT_1186778_1519163_29082025032329_WEB.xml"
"LALPATHLAB","Dr. Lal Path Labs Ltd.","7(2)","Abhishek Maini","Employees/Designated Employees","Equity Shares","250","0",,"250","839050","Sell","Equity Shares","Nil","0","28-Aug-2025","29-Aug-2025","29-Aug-2025","Market Sale","-","-","0","0","0","0","NSE","-","29-Aug-2025 15:23","https://nsearchives.nseindia.com/corporate/xbrl/IT_1186778_1519163_29082025032329_WEB.xml"
