SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,COMPANY,NAME OF THE ACQUIRER/DISPOSER,VALUE OF SECURITY (ACQUIRED/DISPLOSED),ACQUISITION/DISPOSAL TRANSACTION TYPE,TOTAL ACQUISTION (SHARES/VOTING RIGHTS/WARRANTS/ CONVERTIBLE SECURITIES/ ANY OTHER INSTRUMENT),PROMOTER & PROMOTER GROUP (A),MARKET,SERIES,SECURITY,PREV_CL_PR
360ONE,,,,,360 ONE WAM LIMITED,Sanjay Wadhwa,2370853,Sell,,6.26,,,,
360ONE,,,,,360 ONE WAM LIMITED,Vipul Gala,3077304,Sell,,6.26,,,,
360ONE,,,,,360 ONE WAM LIMITED,Sandeep Joshi,1102896,Sell,,6.26,,,,
360ONE,,,,,360 ONE WAM LIMITED,Sandeep Joshi,1094000,Sell,,6.26,,,,
360ONE,,,,,360 ONE WAM LIMITED,Sandeep Joshi,1357885,Sell,,6.26,,,,
360ONE,,,,,360 ONE WAM LIMITED,Amit Garg,4745241,Sell,,6.26,,,,
360ONE,,,,,360 ONE WAM LIMITED,Niraj Murarka,10918991,Sell,,6.26,,,,
360ONE,,,,,360 ONE WAM LIMITED,Vipul Gala,5150758,Sell,,6.26,,,,
360ONE,,,,,360 ONE WAM LIMITED,Sanjay Wadhwa,9838300,Sell,,6.26,,,,
360ONE,,,,,360 ONE WAM LIMITED,Amit Garg,3927437,Sell,,6.26,,,,
360ONE,,,,,360 ONE WAM LIMITED,Bohita Mali,1123200,Pledge,,6.26,,,,
360ONE,,,,,360 ONE WAM LIMITED,VINEET RAMESH JAIN,4710547,Sell,,6.26,,,,
360ONE,,,,,360 ONE WAM LIMITED,Sanjay Wadhwa,8205000,Sell,,6.26,,,,
360ONE,,,,,360 ONE WAM LIMITED,Amit Garg,3812407,Sell,,6.26,,,,
360ONE,,,,,360 ONE WAM LIMITED,Sanjay Wadhwa,10247840,Sell,,6.26,,,,
360ONE,,,,,360 ONE WAM LIMITED,Pankaj Fitkariwala,2974000,Sell,,6.26,,,,
AAATECH,,,,,Aaa Technologies Limited,RUCHI AGARWAL,53728000,Sell,,,,,,
AAATECH,,,,,Aaa Technologies Limited,ANJAY AGARWAL,45037765,Sell,,,,,,
AAKAAR,,,,,,,,,,,N,SM,AAKAAR MEDICAL TECHNO LTD,85.0
AARADHYA,,,,,,,,,,,N,ST,AARADHYA DISPOSAL INDUS L,161.0
AARTIPHARM,,,,,Aarti Pharmalabs Limited,Manjula Mahendra Sangoi,4406192,Sell,,42.88,,,,
AARTIPHARM,,,,,Aarti Pharmalabs Limited,SAFECHEM ENTERPRISES PRIVATE LIMITED,556957200,Sell,,42.88,,,,
AARTIPHARM,,,,,Aarti Pharmalabs Limited,SAFECHEM ENTERPRISES PRIVATE LIMITED,27417489,Sell,,42.88,,,,
AARTIPHARM,,,,,Aarti Pharmalabs Limited,ORCHID FAMILY TRUST (Relacion Trusteeship Services Private Limited),38440310,Sell,,42.88,,,,
AATMAJ,,,,,,,,,,,N,SM,AATMAJ HEALTHCARE LIMITED,20.75
ABDL,,,,,Allied Blenders and Distillers Limited,Ratan Lal Jain,555070,Buy,,80.91,,,,
ABDL,,,,,Allied Blenders and Distillers Limited,Ratan Lal Jain,495150,Buy,,80.91,,,,
ABDL,,,,,Allied Blenders and Distillers Limited,Ratan Lal Jain,515000,Buy,,80.91,,,,
ABDL,,,,,Allied Blenders and Distillers Limited,Ratan Lal Jain,498960,Buy,,80.91,,,,
ABDL,,,,,Allied Blenders and Distillers Limited,Ratan Lal Jain,489000,Buy,,80.91,,,,
ABDL,,,,,Allied Blenders and Distillers Limited,Rajesh Bihari Singh,2612974,Buy,,80.91,,,,
ABHAPOWER,,,,,,,,,,,N,ST,ABHA POWER N STEEL LTD,40.0
ABSMARINE,,,,,,,,,,,N,SM,ABS MARINE SERVICES LTD,182.2
ACCENTMIC,,,,,,,,,,,N,ST,ACCENT MICROCELL LIMITED,244.95
ACCPL,,,,,,,,,,,N,SM,ACCRETION PHARMA LIMITED,59.0
ACE,,,,,Action Construction Equipment Limited,Mr. Vijay Agarwal,2211000,Buy,,65.42,,,,
ACE,,,,,Action Construction Equipment Limited,Mr. Vijay Agarwal,2173500,Buy,,65.42,,,,
ACE,,,,,Action Construction Equipment Limited,Action Construction Equipment Limited Employees Welfare Trust,2892641,Buy,,65.42,,,,
ACE,,,,,Action Construction Equipment Limited,Mr. Vijay Agarwal,1971249,Buy,,65.42,,,,
ACE,,,,,Action Construction Equipment Limited,Mr. Vijay Agarwal,3764800,Buy,,65.42,,,,
ACTIVEINFR,,,,,,,,,,,N,SM,ACTIVE INFRASTRUCTURES L,177.0
ADANIENT,"2,554.80","2,554.80","2,507.30","2,545.80",,,,,,,,,,
ADANIPORTS,"1,463.00","1,463.50","1,431.50","1,453.10",,,,,,,,,,
ADFFOODS,,,,,ADF Foods Limited,Parul Bimal Thakkar,278280000,Pledge Revoke,,36.13,,,,
ADOR,,,,,Ador Welding Limited,DEEP ASHDA LALVANI,1945906,Buy,,53.72,,,,
ADOR,,,,,Ador Welding Limited,DEEP ASHDA LALVANI,1263950,Buy,,53.72,,,,
ADOR,,,,,Ador Welding Limited,TANIA A MIRCHANDANI,0,Buy,,53.72,,,,
ADSL,,,,,Allied Digital Services Limited,Gopal Tiwari,1022826,Sell,,51.15,,,,
ADSL,,,,,Allied Digital Services Limited,Gopal Tiwari,975000,Sell,,51.15,,,,
ADSL,,,,,Allied Digital Services Limited,Gopal Tiwari,960850,Sell,,51.15,,,,
ADSL,,,,,Allied Digital Services Limited,Gopal Tiwari,644000,Sell,,51.15,,,,
ADSL,,,,,Allied Digital Services Limited,Gopal Tiwari,968000,Sell,,51.15,,,,
ADVENZYMES,,,,,Advanced Enzyme Technologies Limited,Leela Kishor Rathi,3758233,Sell,,43.07,,,,
ADVENZYMES,,,,,Advanced Enzyme Technologies Limited,Leela Kishor Rathi,805468,Sell,,43.07,,,,
ADVENZYMES,,,,,Advanced Enzyme Technologies Limited,Leela Kishor Rathi,4786222,Sell,,43.07,,,,
ADVENZYMES,,,,,Advanced Enzyme Technologies Limited,Leela Kishor Rathi,670258,Sell,,43.07,,,,
ADVENZYMES,,,,,Advanced Enzyme Technologies Limited,Leela Kishor Rathi,106774,Sell,,43.07,,,,
ADVENZYMES,,,,,Advanced Enzyme Technologies Limited,Leela Kishor Rathi,1014000,Sell,,43.07,,,,
AEGISLOG,,,,,Aegis Logistics Limited,HURON HOLDINGS LIMITED,7589000,Buy,,58.1,,,,
AEGISLOG,,,,,Aegis Logistics Limited,ASIA INFRASTRUCTURE INVESTMENT LTD,7589000,Sell,,58.1,,,,
AEGISLOG,,,,,Aegis Logistics Limited,SUDHIR OMPRAKASH MALHOTRA,2474172,Buy,,58.1,,,,
AEGISLOG,,,,,Aegis Logistics Limited,SUDHIR OMPRAKASH MALHOTRA,1667475,Buy,,58.1,,,,
AEGISLOG,,,,,Aegis Logistics Limited,SUDHIR OMPRAKASH MALHOTRA,2988039,Buy,,58.1,,,,
AEGISLOG,,,,,Aegis Logistics Limited,SUDHIR OMPRAKASH MALHOTRA,1983588,Buy,,58.1,,,,
AEGISLOG,,,,,Aegis Logistics Limited,SUDHIR OMPRAKASH MALHOTRA,990122,Buy,,58.1,,,,
AERON,,,,,,,,,,,N,SM,AERON COMPOSITE LIMITED,104.5
AESTHETIK,,,,,,,,,,,N,SM,AESTHETIK ENGINEERS LTD,138.75
AFFLE,,,,,Affle 3i Limited,Affle (India) Limited Employees Welfare Trust,2627882,Sell,,0.55,,,,
AFFLE,,,,,Affle 3i Limited,Affle (India) Limited Employees Welfare Trust,9673016,Sell,,0.55,,,,
AFFLE,,,,,Affle 3i Limited,Affle (India) Limited Employees Welfare Trust,206469,Sell,,0.55,,,,
AFFLE,,,,,Affle 3i Limited,Affle (India) Limited Employees Welfare Trust,288044,Sell,,0.55,,,,
AFFLE,,,,,Affle 3i Limited,Affle (India) Limited Employees Welfare Trust,947763,Sell,,0.55,,,,
AFFLE,,,,,Affle 3i Limited,Affle (India) Limited Employees Welfare Trust,1730584,Sell,,0.55,,,,
AFFLE,,,,,Affle 3i Limited,Nishant Malik,327567,Sell,,0.55,,,,
AFFLE,,,,,Affle 3i Limited,Affle (India) Limited Employees Welfare Trust,35812260,Sell,,0.55,,,,
AFFLE,,,,,Affle 3i Limited,Affle (India) Limited Employees Welfare Trust,46265922,Sell,,0.55,,,,
AFFLE,,,,,Affle 3i Limited,Affle (India) Limited Employees Welfare Trust,2849476,Sell,,0.55,,,,
AFFLE,,,,,Affle 3i Limited,Harshit Talesara,19370,Buy,,0.55,,,,
AFFLE,,,,,Affle 3i Limited,Affle (India) Limited Employees Welfare Trust,450466,Sell,,0.55,,,,
AFFLE,,,,,Affle 3i Limited,Affle (India) Limited Employees Welfare Trust,2732145,Sell,,0.55,,,,
AFFLE,,,,,Affle 3i Limited,Affle (India) Limited Employees Welfare Trust,2619805,Sell,,0.55,,,,
AFFLE,,,,,Affle 3i Limited,Affle (India) Limited Employees Welfare Trust,452311,Sell,,0.55,,,,
AFFLE,,,,,Affle 3i Limited,Affle (India) Limited Employees Welfare Trust,2956920,Sell,,0.55,,,,
AFFORDABLE,,,,,Affordable Robotic & Automation Limited,Milind Padole,12167767,Sell,,47.11,,,,
AFFORDABLE,,,,,Affordable Robotic & Automation Limited,Milind Padole,613897,Sell,,47.11,,,,
AFFORDABLE,,,,,Affordable Robotic & Automation Limited,Milind Padole,147089,Sell,,47.11,,,,
AFFORDABLE,,,,,Affordable Robotic & Automation Limited,Milind Padole,3143516,Sell,,47.11,,,,
AFIL,,,,,Akme Fintrade (India) Limited,MANJU DEVI JAIN,8242729,Buy,,41.2,,,,
AGARWALFT,,,,,,,,,,,N,SM,AGARWAL FLOAT GLASS I LTD,64.0
AGARWALTUF,,,,,,,,,,,N,SM,AGARWAL TOUGH GLASS IND L,155.0
AGNI,,,,,,,,,,,N,ST,AGNI GREEN POWER LTD,27.9
AGUL,,,,,,,,,,,N,SM,A G UNIVERSAL LIMITED,68.0
AHLWEST,,,,,Asian Hotels (West) Limited,Gunjan Jain,16193760,Buy,,72.03,,,,
AIIL,,,,,Authum Investment & Infrastructure Limited,Mentor Capital Limited,11655955624,Sell,,68.79,,,,
AIIL,,,,,Authum Investment & Infrastructure Limited,Mentor Capital Limited,13070728040,Sell,,68.79,,,,
AILIMITED,,,,,Abhishek Integrations Limited,SANJAY NARBADA DUBEY,4400000,Sell,,,N,SM,ABHISHEK INTEGRATIONS LTD,40.0
AIMTRON,,,,,,,,,,,N,SM,AIMTRON ELECTRONICS LTD,691.35
AISL,,,,,,,,,,,N,SM,ANI INTEGRATED SERV LTD.,84.0
AKANKSHA,,,,,,,,,,,N,SM,AKANKSHA POWER N INFRA L,89.5
AKIKO,,,,,,,,,,,N,ST,AKIKO GLOBAL SERVICES L,254.0
AKSHOPTFBR,,,,,Aksh Optifibre Limited,Dr. Kailash Shantilal Choudhari,1429095,Sell,,19.73,,,,
AKSHOPTFBR,,,,,Aksh Optifibre Limited,Dr. Kailash Shantilal Choudhari,1279288,Sell,,19.73,,,,
AKSHOPTFBR,,,,,Aksh Optifibre Limited,Dr. Kailash Shantilal Choudhari,1685302,Sell,,19.73,,,,
AKZOINDIA,,,,,Akzo Nobel India Limited,Imperial Chemical Industries Limited,7648037982,Sell,,69.76,,,,
ALKYLAMINE,,,,,Alkyl Amines Chemicals Limited,Santosh Kumar Hegde,156000,Buy,,72.03,,,,
ALKYLAMINE,,,,,Alkyl Amines Chemicals Limited,Rakesh Goyal,986960,Buy,,72.03,,,,
ALKYLAMINE,,,,,Alkyl Amines Chemicals Limited,Girish Naik,312000,Buy,,72.03,,,,
ALKYLAMINE,,,,,Alkyl Amines Chemicals Limited,Sameer Sharad Katdare,506480,Buy,,72.03,,,,
ALKYLAMINE,,,,,Alkyl Amines Chemicals Limited,Uday Vishnu Ghag,280000,Buy,,72.03,,,,
ALKYLAMINE,,,,,Alkyl Amines Chemicals Limited,Rajesh Kawale,286000,Buy,,72.03,,,,
ALKYLAMINE,,,,,Alkyl Amines Chemicals Limited,Manohar Radhakrishna Prabhu,630000,Buy,,72.03,,,,
ALLETEC,,,,,All E Technologies Limited,Mr. Ajay Mian,474736,Buy,,,N,SM,ALL E TECHNOLOGIES LTD,264.5
ALMONDZ,,,,,Almondz Global Securities Limited,NAVJEET SINGH SOBTI HUF,2150151,Buy,,51.18,,,,
ALPEXSOLAR,,,,,,,,,,,N,SM,ALPEX SOLAR LIMITED,1157.9
ALUWIND,,,,,ALUWIND INFRA-TECH LIMITED,Prakash Kumar Agarwal,2921775,Sell,,,N,SM,ALUWIND INFRA-TECH LTD,82.0
AMBANIORGO,,,,,,,,,,,N,SM,AMBANI ORGOCHEM LIMITED,138.9
AMBEY,,,,,,,,,,,N,SM,AMBEY LABORATORIES LTD,40.0
AMCL,,,,,,,,,,,N,SM,ANB METAL CAST LIMITED,270.85
AMEYA,,,,,,,,,,,N,SM,AMEYA PRECISION ENG LTD,100.0
ANLON,,,,,,,,,,,N,ST,ANLON TECHNOLOGY SOL LTD,435.0
ANNAPURNA,,,,,Annapurna Swadisht Limited,Rachna Suman Shaw,3001900,Buy,,,N,SM,ANNAPURNA SWADISHT LTD,250.85
ANNAPURNA,,,,,Annapurna Swadisht Limited,Rachna Suman Shaw,2629500,Buy,,,N,SM,ANNAPURNA SWADISHT LTD,250.85
ANONDITA,,,,,,,,,,,N,SM,ANONDITA MEDICARE LIMITED,354.65
ANUP,,,,,The Anup Engineering Limited,BHAGWATI SPHEROCAST PVT LTD,1295194,Buy,,40.98,,,,
ANUP,,,,,The Anup Engineering Limited,BHAGWATI SPHEROCAST PVT LTD,33128662,Buy,,40.98,,,,
ANUP,,,,,The Anup Engineering Limited,REENA P. BHAGWATI,2025717,Buy,,40.98,,,,
ANUP,,,,,The Anup Engineering Limited,REENA P. BHAGWATI,804894,Buy,,40.98,,,,
ANUP,,,,,The Anup Engineering Limited,PRAVIN N. BHAGWATI,2305,Sell,,40.98,,,,
ANUP,,,,,The Anup Engineering Limited,PRAVIN N. BHAGWATI,6983625,Buy,,40.98,,,,
ANUP,,,,,The Anup Engineering Limited,BHAGWATI FILTERS PVT LTD,1057027,Buy,,40.98,,,,
ANYA,,,,,,,,,,,N,SM,ANYA POLYTECH & FERTI LTD,22.45
APEXECO,,,,,,,,,,,N,SM,APEX ECOTECH LIMITED,134.55
APLLTD,,,,,Alembic Pharmaceuticals Limited,Nirayu Private Limited,9035483,Buy,,69.74,,,,
APLLTD,,,,,Alembic Pharmaceuticals Limited,Nirayu Private Limited,4508921,Buy,,69.74,,,,
APLLTD,,,,,Alembic Pharmaceuticals Limited,Chirayu Ramanbhai Amin HUF,13880518,Buy,,69.74,,,,
APLLTD,,,,,Alembic Pharmaceuticals Limited,Chirayu Ramanbhai Amin HUF,5003616,Buy,,69.74,,,,
APLLTD,,,,,Alembic Pharmaceuticals Limited,Chirayu Ramanbhai Amin HUF,23983454,Buy,,69.74,,,,
APLLTD,,,,,Alembic Pharmaceuticals Limited,Chirayu Ramanbhai Amin HUF,18960978,Buy,,69.74,,,,
APLLTD,,,,,Alembic Pharmaceuticals Limited,Chirayu Ramanbhai Amin HUF,12590868,Buy,,69.74,,,,
APLLTD,,,,,Alembic Pharmaceuticals Limited,Chirayu Ramanbhai Amin HUF,19119593,Buy,,69.74,,,,
APLLTD,,,,,Alembic Pharmaceuticals Limited,Chirayu Ramanbhai Amin HUF,12509168,Buy,,69.74,,,,
APOLLO,,,,,Apollo Micro Systems Limited,VARADA MADHUSUDHAN RAO,1140000,Buy,,50.33,,,,
APOLLO,,,,,Apollo Micro Systems Limited,SUDARSHAN CHILUVERU,22800000,Buy,,50.33,,,,
APOLLOHOSP,"7,975.00","7,982.00","7,841.00","7,968.50",Apollo Hospitals Enterprise Limited,PCR INVESTMENTS LIMITED,1807100000,Pledge Revoke,,0.28,,,,
APOLLOHOSP,"7,975.00","7,982.00","7,841.00","7,968.50",Apollo Hospitals Enterprise Limited,K VISHWESHWAR REDDY,521100000,Pledge,,0.28,,,,
APOLLOHOSP,"7,975.00","7,982.00","7,841.00","7,968.50",Apollo Hospitals Enterprise Limited,SUNEETA REDDY,1378900000,Pledge Revoke,,0.28,,,,
APOLLOHOSP,"7,975.00","7,982.00","7,841.00","7,968.50",Apollo Hospitals Enterprise Limited,K VISHWESHWAR REDDY,2196200000,Pledge Revoke,,0.28,,,,
APOLLOHOSP,"7,975.00","7,982.00","7,841.00","7,968.50",Apollo Hospitals Enterprise Limited,SUNEETA REDDY,4448200000,Pledge Revoke,,0.28,,,,
APOLLOHOSP,"7,975.00","7,982.00","7,841.00","7,968.50",Apollo Hospitals Enterprise Limited,K VISHWESHWAR REDDY,837100000,Pledge,,0.28,,,,
APOLLOHOSP,"7,975.00","7,982.00","7,841.00","7,968.50",Apollo Hospitals Enterprise Limited,PCR INVESTMENTS LIMITED,9466800000,Pledge Revoke,,0.28,,,,
APOLLOHOSP,"7,975.00","7,982.00","7,841.00","7,968.50",Apollo Hospitals Enterprise Limited,SUNEETA REDDY,14834200000,Sell,,0.28,,,,
APRAMEYA,,,,,,,,,,,N,SM,APRAMEYA ENGINEERING LTD,272.5
APS,,,,,Australian Premium Solar (India) Limited,Nikunjkumar Chimanlal Patel,30310000,Buy,,,N,SM,AUSTRALIAN PREM SOLAR I L,450.8
APS,,,,,Australian Premium Solar (India) Limited,CHIMANBHAI RANCHHODBHAI PATEL,10618221,Sell,,,N,SM,AUSTRALIAN PREM SOLAR I L,450.8
ARABIAN,,,,,,,,,,,N,SM,ARABIAN PETROLEUM LIMITED,70.7
ARCIIL,,,,,,,,,,,N,SM,ARC INSULATION & INSU LTD,96.15
ARHAM,,,,,,,,,,,N,SM,ARHAM TECHNOLOGIES LTD,102.95
ARIHANTACA,,,,,,,,,,,N,SM,ARIHANT ACADEMY LIMITED,440.95
ARKADE,,,,,Arkade Developers Limited,Amit Mangilal Jain,17977000,Buy,,0.71,,,,
ARMANFIN,,,,,Arman Financial Services Limited,Amit R. Manakiwala,449400,Sell,,22.0,,,,
ARUNAYA,,,,,,,,,,,N,ST,ARUNAYA ORGANICS LIMITED,23.05
ARVIND,,,,,Arvind Limited,Susheelkumar Mohanlal Kaul,35193246,Buy,,39.53,,,,
ARVIND,,,,,Arvind Limited,Nigam Shah,100000,Buy,,39.53,,,,
ARVIND,,,,,Arvind Limited,VENKATESHA GARLA NAGARAJA BABU,100000,Buy,,39.53,,,,
ARVIND,,,,,Arvind Limited,KARAN OJHA,100000,Buy,,39.53,,,,
ARVINDFASN,,,,,Arvind Fashions Limited,Vinayak Ishwar Hegde,1515750,Buy,,35.13,,,,
ARVINDFASN,,,,,Arvind Fashions Limited,Shishir Gupta,1515750,Buy,,35.13,,,,
ARVINDFASN,,,,,Arvind Fashions Limited,ANKIT ARORA,1010500,Buy,,35.13,,,,
ARVINDFASN,,,,,Arvind Fashions Limited,Preeti Kaushik,1550850,Buy,,35.13,,,,
ARVINDFASN,,,,,Arvind Fashions Limited,Shishir Gupta,855144,Sell,,35.13,,,,
ARVINDFASN,,,,,Arvind Fashions Limited,Anurag Pandey,202950,Sell,,35.13,,,,
ARVINDFASN,,,,,Arvind Fashions Limited,ANKIT ARORA,1591500,Buy,,35.13,,,,
ARVINDPORT,,,,,,,,,,,N,SM,ARVIND PORT AND INFRA LTD,45.75
ASAHIINDIA,,,,,Asahi India Glass Limited,Mr. Sanjay Labroo,362680000,Pledge Revoke,,51.57,,,,
ASAHIINDIA,,,,,Asahi India Glass Limited,LANS Business LLP,22346750,Buy,,51.57,,,,
ASAHIINDIA,,,,,Asahi India Glass Limited,Ashok Kanhayalal Monga,4448930,Sell,,51.57,,,,
ASAHIINDIA,,,,,Asahi India Glass Limited,Ashok Kanhayalal Monga,861028,Sell,,51.57,,,,
ASAHIINDIA,,,,,Asahi India Glass Limited,Ashok Kanhayalal Monga,1736987,Sell,,51.57,,,,
ASAHIINDIA,,,,,Asahi India Glass Limited,Ashok Kanhayalal Monga,3951205,Sell,,51.57,,,,
ASAHIINDIA,,,,,Asahi India Glass Limited,Ashok Kanhayalal Monga,2214783,Sell,,51.57,,,,
ASAHIINDIA,,,,,Asahi India Glass Limited,KRISHNA CHAMANLAL TIKU,3297966,Sell,,51.57,,,,
ASAHIINDIA,,,,,Asahi India Glass Limited,KRISHNA CHAMANLAL TIKU,8500000,Sell,,51.57,,,,
ASAHIINDIA,,,,,Asahi India Glass Limited,LANS Business LLP,8319000,Buy,,51.57,,,,
ASAHISONG,,,,,Asahi Songwon Colors Limited,GOKUL M JAYKRISHNA HUF,406170,Buy,,67.0,,,,
ASAHISONG,,,,,Asahi Songwon Colors Limited,GOKUL M JAYKRISHNA HUF,5650689,Buy,,67.0,,,,
ASHALOG,,,,,,,,,,,N,SM,ASHAPURA LOGISTICS LTD,79.0
ASHAPURMIN,,,,,Ashapura Minechem Limited,Chetan Navnitlal Shah,0,Buy,,47.79,,,,
ASIANPAINT,"2,495.00","2,504.90","2,486.30","2,502.40",,,,,,,,,,
ASLIND,,,,,,,,,,,G,ST,ASL INDUSTRIES LIMITED,63.75
ASMS,,,,,Bartronics India Limited,Kinex India Private Limited,34634210,Sell,,69.37,,,,
ASMS,,,,,Bartronics India Limited,Kinex India Private Limited,1884030080,Sell,,69.37,,,,
ASTEC,,,,,Astec LifeSciences Limited,GODREJ AGROVET LIMITED,1990209990,Buy,,72.42,,,,
ASTEC,,,,,Astec LifeSciences Limited,GODREJ AGROVET LIMITED,1990209990,Buy,,72.42,,,,
ASTRAL,,,,,Astral Limited,KAIRAV CHEMICALS LIMITED,71586136,Buy,,54.21,,,,
ASTRAL,,,,,Astral Limited,SAUMYA POLYMERS LLP,71524242,Buy,,54.21,,,,
ASTRAL,,,,,Astral Limited,KAIRAV CHEMICALS LIMITED,131477018,Buy,,54.21,,,,
ASTRAL,,,,,Astral Limited,SAUMYA POLYMERS LLP,131603083,Buy,,54.21,,,,
ATCENERGY,,,,,,,,,,,N,SM,ATC ENERGIES SYSTEM LTD,47.75
ATLASCYCLE,,,,,Atlas Cycles (Haryana) Limited,Limrose Engineering Work Private Limited,36363000,Sell,,41.92,,,,
ATLASCYCLE,,,,,Atlas Cycles (Haryana) Limited,Milton Cycle Industries Limited,36363000,Buy,,41.92,,,,
ATMASTCO,,,,,,,,,,,N,SM,ATMASTCO LIMITED,202.45
ATULAUTO,,,,,Atul Auto Limited,KHUSHBU AUTO PRIVATE LIMITED,5391130,Sell,,42.7,,,,
AUBANK,,,,,AU Small Finance Bank Limited,Namokar Mining Industries LLP,37910800,Sell,,22.82,,,,
AUBANK,,,,,AU Small Finance Bank Limited,Namokar Mining Industries LLP,11296172,Sell,,22.82,,,,
AUBANK,,,,,AU Small Finance Bank Limited,Namokar Mining Industries LLP,37910800,Sell,,22.82,,,,
AURDIS,,,,,,,,,,,N,SM,AURANGABAD DISTILLERY LTD,139.95
AURIONPRO,,,,,Aurionpro Solutions Limited,SAM FINANCIAL SERVICES,13054003,Sell,,26.88,,,,
AURIONPRO,,,,,Aurionpro Solutions Limited,SAM FINANCIAL SERVICES,1695141,Sell,,26.88,,,,
AURIONPRO,,,,,Aurionpro Solutions Limited,SAM FINANCIAL SERVICES,3937036,Sell,,26.88,,,,
AURIONPRO,,,,,Aurionpro Solutions Limited,SAM FINANCIAL SERVICES,26656515,Sell,,26.88,,,,
AURIONPRO,,,,,Aurionpro Solutions Limited,SAM FINANCIAL SERVICES,30071466,Sell,,26.88,,,,
AURIONPRO,,,,,Aurionpro Solutions Limited,SAM FINANCIAL SERVICES,550347,Sell,,26.88,,,,
AURIONPRO,,,,,Aurionpro Solutions Limited,SAM FINANCIAL SERVICES,13177378,Sell,,26.88,,,,
AURIONPRO,,,,,Aurionpro Solutions Limited,SAM FINANCIAL SERVICES,404809,Sell,,26.88,,,,
AUROIMPEX,,,,,,,,,,,N,SM,AURO IMPEX & CHEMICALS L,50.0
AUSL,,,,,,,,,,,N,ST,ADITYA ULTRA STEEL LTD,36.4
AVANTEL,,,,,Avantel Limited,PSV Ramakrishna,1470710,Sell,,37.15,,,,
AVANTEL,,,,,Avantel Limited,P Bala Bhaskar Rao,2624994,Sell,,37.15,,,,
AVANTEL,,,,,Avantel Limited,DSNV Gopala Rao,1011090,Sell,,37.15,,,,
AVANTEL,,,,,Avantel Limited,R Sharath Kumar Reddy,1348001,Sell,,37.15,,,,
AVANTEL,,,,,Avantel Limited,D Venkata Subbarayudu,1260350,Sell,,37.15,,,,
AVANTEL,,,,,Avantel Limited,D Satyanarayana,3512201,Sell,,37.15,,,,
AVG,,,,,AVG Logistics Limited,Asha Gupta,37352825,Pledge,,52.51,,,,
AVG,,,,,AVG Logistics Limited,Apurva Chamaria,3710746,Buy,,52.51,,,,
AVG,,,,,AVG Logistics Limited,Asha Gupta,829100000,Pledge,,52.51,,,,
AVIANSH,,,,,,,,,,,N,SM,AVI ANSH TEXTILE LIMITED,99.5
AVL,,,,,Aditya Vision Limited,NISHANT PRABHAKAR,494238410,Sell,,47.32,,,,
AVL,,,,,Aditya Vision Limited,YASHOVARDHAN SINHA,2969444299,Sell,,47.32,,,,
AVONMORE,,,,,Avonmore Capital & Management Services  Limited,INNOVATIVE MONEY MATTERS PRIVATE LIMITED,448888,Buy,,,,,,
AVONMORE,,,,,Avonmore Capital & Management Services  Limited,NAVJEET SINGH SOBTI HUF,1350000,Buy,,,,,,
AVONMORE,,,,,Avonmore Capital & Management Services  Limited,NAVJEET SINGH SOBTI HUF,2576091,Buy,,,,,,
AVPINFRA,,,,,,,,,,,N,SM,AVP INFRACON LIMITED,162.7
AXISBANK,"1,254.20","1,256.00","1,243.00","1,258.80",,,,,,,,,,
BABAFP,,,,,,,,,,,N,SM,BABA FOOD PROCESSING,35.85
BAHETI,,,,,Baheti Recycling Industries Limited,SAVITABEN SHANKERLAL SHAH,1650000,Buy,,,N,SM,BAHETI RECYCLING IND LTD,547.1
BAHETI,,,,,Baheti Recycling Industries Limited,SHANKERLAL BANSILAL SHAH,3697448,Buy,,,N,SM,BAHETI RECYCLING IND LTD,547.1
BAHETI,,,,,Baheti Recycling Industries Limited,SHANKERLAL BANSILAL SHAH,1646370,Buy,,,N,SM,BAHETI RECYCLING IND LTD,547.1
BAHETI,,,,,Baheti Recycling Industries Limited,SHANKERLAL BANSILAL SHAH,3435420,Buy,,,N,SM,BAHETI RECYCLING IND LTD,547.1
BAJAJ-AUTO,"9,070.00","9,099.00","9,012.00","9,047.00",,,,,,,,,,
BAJAJELEC,,,,,Bajaj Electricals Limited,Kumud Neelima Family Trust (Madhur Bajaj as a trustee),68649060,Buy,,62.7,,,,
BAJAJELEC,,,,,Bajaj Electricals Limited,Geetika Shekhar Bajaj Trust,1036165000,Buy,,62.7,,,,
BAJAJELEC,,,,,Bajaj Electricals Limited,Kumud Bajaj- A/c Neelima Bajaj Family Trust,11811131,Buy,,62.7,,,,
BAJAJELEC,,,,,Bajaj Electricals Limited,Madhur Bajaj- A/c Nimisha Bajaj Family Trust,112727978,Buy,,62.7,,,,
BAJAJELEC,,,,,Bajaj Electricals Limited,Kumud Nimisha Family Trust (Madhur Bajaj as a trustee),68649060,Buy,,62.7,,,,
BAJAJELEC,,,,,Bajaj Electricals Limited,Kumud Neelima Family Trust (Madhur Bajaj as a trustee),68649060,Sell,,62.7,,,,
BAJAJELEC,,,,,Bajaj Electricals Limited,Kumud Nimisha Family Trust (Madhur Bajaj as a trustee),68649060,Sell,,62.7,,,,
BAJAJELEC,,,,,Bajaj Electricals Limited,Madhur Bajaj- A/c Nimisha Bajaj Family Trust,112727978,Sell,,62.7,,,,
