SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,COMPANY,NAME OF THE ACQUIRER/DISPOSER,VALUE OF SECURITY (ACQUIRED/DISPLOSED),ACQUISITION/DISPOSAL TRANSACTION TYPE,TOTAL ACQUISTION (SHARES/VOTING RIGHTS/WARRANTS/ CONVERTIBLE SECURITIES/ ANY OTHER INSTRUMENT),PROMOTER & PROMOTER GROUP (A),MARKET,SERIES,SECURITY,PREV_CL_PR
RUBFILA,,,,,Rubfila International Limited,HARDIK B PATEL,3557255,Buy,,57.77,,,,
RUBFILA,,,,,Rubfila International Limited,HARDIK B PATEL,1224730,Buy,,57.77,,,,
RUBFILA,,,,,Rubfila International Limited,HARDIK B PATEL,4344163,Buy,,57.77,,,,
RUBFILA,,,,,Rubfila International Limited,HARDIK B PATEL,1241623,Buy,,57.77,,,,
RUBFILA,,,,,Rubfila International Limited,HARDIK B PATEL,2094311,Buy,,57.77,,,,
RUBFILA,,,,,Rubfila International Limited,HARDIK B PATEL,1359024,Buy,,57.77,,,,
RUBFILA,,,,,Rubfila International Limited,-,-,-,,57.77,,,,
RUBFILA,,,,,Rubfila International Limited,HARDIK B PATEL,2118595,Buy,,57.77,,,,
RUBFILA,,,,,Rubfila International Limited,HARDIK B PATEL,805663,Buy,,57.77,,,,
RULKA,,,,,,,,,,,N,SM,RULKA ELECTRICALS LIMITED,116.85
RUSTOMJEE,,,,,Keystone Realtors Limited,,,,,78.25,,,,
RUSTOMJEE,,,,,Keystone Realtors Limited,,,,,78.25,,,,
RUSTOMJEE,,,,,Keystone Realtors Limited,,,,,78.25,,,,
RVNL,,,,,Rail Vikas Nigam Limited,Bhanu Prakash,331,Sell,,72.84,,,,
RVNL,,,,,Rail Vikas Nigam Limited,Bhanu Prakash,304,Sell,,72.84,,,,
RVNL,,,,,Rail Vikas Nigam Limited,Bhanu Prakash,323,Sell,,72.84,,,,
RVNL,,,,,Rail Vikas Nigam Limited,Bhanu Prakash,317,Sell,,72.84,,,,
RVTH,,,,,Revathi Equipment India Limited,Yashohari Dalmia,215212,Buy,,63.89,,,,
RVTH,,,,,Revathi Equipment India Limited,Harivansh Dalmia,688086,Buy,,63.89,,,,
SAAKSHI,,,,,Saakshi Medtech and Panels Limited,ANIKET VIJAY LATKAR,2117280,Buy,,,G,ST,SAAKSHI MEDTEC N PANELS L,172.0
SABAR,,,,,,,,,,,N,ST,SABAR FLEX INDIA LIMITED,5.4
SABTNL,,,,,Sri Adhikari Brothers Television Network Limited,Ruani Media Service Limited,59,Sell,,59.22,,,,
SACHEEROME,,,,,,,,,,,N,SM,SACHEEROME LIMITED,210.0
SADBHAV,,,,,Sadbhav Engineering Limited,Late Shantaben Vishnubhai Patel,1000876,Pledge Revoke,,25.52,,,,
SADBHAV,,,,,Sadbhav Engineering Limited,Shashin Vishnubhai Patel,11939943,Pledge Revoke,,25.52,,,,
SADBHAV,,,,,Sadbhav Engineering Limited,SADBHAV FINSTOCK PRIVATE LIMITED,22053031,Pledge Invoke,,25.52,,,,
SADBHAV,,,,,Sadbhav Engineering Limited,Shashin Vishnubhai Patel,234112969,Pledge Invoke,,25.52,,,,
SADBHIN,,,,,Sadbhav Infrastructure Project Limited,SADBHAV ENGINEERING LIMITED,47382520,Pledge Revoke,,70.25,,,,
SADHAV,,,,,,,,,,,N,SM,SADHAV SHIPPING LIMITED,112.6
SAFARI,,,,,Safari Industries (India) Limited,AJENDRA SINGH,1098573,Sell,,44.91,,,,
SAFARI,,,,,Safari Industries (India) Limited,SOMESH HIRDAYRAM PATHAK,4824202,Sell,,44.91,,,,
SAFARI,,,,,Safari Industries (India) Limited,NAZUK KESHAN,2186350,Sell,,44.91,,,,
SAFARI,,,,,Safari Industries (India) Limited,SOMESH HIRDAYRAM PATHAK,3480,Buy,,44.91,,,,
SAFARI,,,,,Safari Industries (India) Limited,SANTOSH KUMAR,1706450,Sell,,44.91,,,,
SAFARI,,,,,Safari Industries (India) Limited,VEERESH S BELGUR,1653000,Sell,,44.91,,,,
SAFARI,,,,,Safari Industries (India) Limited,PARITOSH SINHA,595958,Sell,,44.91,,,,
SAFARI,,,,,Safari Industries (India) Limited,PARITOSH SINHA,747000,Buy,,44.91,,,,
SAFARI,,,,,Safari Industries (India) Limited,VEERESH S BELGUR,2684290,Sell,,44.91,,,,
